name-unit,out-synapses,leak,integration,fire
total,119.823137744486,15129.3933,296092.0715,965.0399
[0:783],732.897959183673,105.2359,105.2359,105.2359
[784:1567],1,305.1292,2629.6485,26.8195
[1568:2351],1,305.1292,2629.6485,0.0103
[2352:3135],1,305.1292,2629.6485,1.0996
[3136:3919],1,305.1292,2629.6485,16.8641
[3920:4703],1,305.1292,2629.6485,4.1183
[4704:5487],1,305.1292,2629.6485,7.8061
[5488:6271],1,305.1292,2629.6485,1.413
[6272:7055],1,305.1292,2629.6485,8.8384
[7056:7839],1,305.1292,2629.6485,0.459
[7840:8623],1,305.1292,2629.6485,24.0554
[8624:9407],1,305.1292,2629.6485,11.9698
[9408:10191],1,305.1292,2629.6485,30.0278
[10192:10975],1,305.1292,2629.6485,0.1083
[10976:11759],1,305.1292,2629.6485,19.205
[11760:12543],1,305.1292,2629.6485,11.8749
[12544:13327],1,305.1292,2629.6485,5.2269
[13328:14111],1,305.1292,2629.6485,14.3089
[14112:14895],1,305.1292,2629.6485,0.6316
[14896:15679],1,305.1292,2629.6485,0.0303
[15680:16463],1,305.1292,2629.6485,13.9736
[16464:17247],1,305.1292,2629.6485,1.3258
[17248:18031],1,305.1292,2629.6485,11.9712
[18032:18815],1,305.1292,2629.6485,30.7545
[18816:19599],1,305.1292,2629.6485,4.3913
[19600:20383],1,305.1292,2629.6485,17.0583
[20384:21167],1,305.1292,2629.6485,17.9801
[21168:21951],1,305.1292,2629.6485,5.1471
[21952:22735],1,305.1292,2629.6485,2.3233
[22736:23519],1,305.1292,2629.6485,7.9894
[23520:24303],1,305.1292,2629.6485,0
[24304:25087],1,305.1292,2629.6485,22.2232
[25088:25871],1,305.1292,2629.6485,10.6543
[25872:26067],612.244897959184,14.1375,26.8195,14.1375
[26068:26263],612.244897959184,0.0103,0.0103,0.0103
[26264:26459],612.244897959184,0.9065,1.0996,0.9065
[26460:26655],612.244897959184,9.4005,16.8641,9.4005
[26656:26851],612.244897959184,3.4153,4.1183,3.4153
[26852:27047],612.244897959184,5.767,7.8061,5.767
[27048:27243],612.244897959184,1.3218,1.413,1.3218
[27244:27439],612.244897959184,6.0227,8.8384,6.0227
[27440:27635],612.244897959184,0.4325,0.459,0.4325
[27636:27831],612.244897959184,12.1075,24.0554,12.1075
[27832:28027],612.244897959184,7.3025,11.9698,7.3025
[28028:28223],612.244897959184,15.2825,30.0278,15.2825
[28224:28419],612.244897959184,0.103,0.1083,0.103
[28420:28615],612.244897959184,10.6699,19.205,10.6699
[28616:28811],612.244897959184,8.2066,11.8749,8.2066
[28812:29007],612.244897959184,3.8327,5.2269,3.8327
[29008:29203],612.244897959184,9.9049,14.3089,9.9049
[29204:29399],612.244897959184,0.5747,0.6316,0.5747
[29400:29595],612.244897959184,0.0303,0.0303,0.0303
[29596:29791],612.244897959184,9.3518,13.9736,9.3518
[29792:29987],612.244897959184,1.1638,1.3258,1.1638
[29988:30183],612.244897959184,7.3235,11.9712,7.3235
[30184:30379],612.244897959184,17.3537,30.7545,17.3537
[30380:30575],612.244897959184,3.2336,4.3913,3.2336
[30576:30771],612.244897959184,10.2755,17.0583,10.2755
[30772:30967],612.244897959184,10.8318,17.9801,10.8318
[30968:31163],612.244897959184,4.0271,5.1471,4.0271
[31164:31359],612.244897959184,1.9447,2.3233,1.9447
[31360:31555],612.244897959184,5.5314,7.9894,5.5314
[31556:31751],612.244897959184,0,0,0
[31752:31947],612.244897959184,11.1239,22.2232,11.1239
[31948:32143],612.244897959184,6.8848,10.6543,6.8848
[32144:32243],1,96.7325,4024.0037,5.3448
[32244:32343],1,96.7325,4024.0037,4.8728
[32344:32443],1,96.7325,4024.0037,1.4858
[32444:32543],1,96.7325,4024.0037,3.4923
[32544:32643],1,96.7325,4024.0037,3.3998
[32644:32743],1,96.7325,4024.0037,3.2086
[32744:32843],1,96.7325,4024.0037,6.6714
[32844:32943],1,96.7325,4024.0037,1.036
[32944:33043],1,96.7325,4024.0037,3.5384
[33044:33143],1,96.7325,4024.0037,0.2785
[33144:33243],1,96.7325,4024.0037,2.0759
