name-unit,out-synapses,leak,integration,fire
total,46.8911685994648,4006.6444,73734.3128,733.9409
[0:783],137.418367346939,105.2359,105.2359,105.2359
[784:1567],1,305.1292,2629.6485,49.6171
[1568:2351],1,305.1292,2629.6485,43.5754
[2352:3135],1,305.1292,2629.6485,41.8123
[3136:3919],1,305.1292,2629.6485,41.1986
[3920:4703],1,305.1292,2629.6485,30.0282
[4704:5487],1,305.1292,2629.6485,70.4542
[5488:5683],204.081632653061,26.8831,49.6171,26.8831
[5684:5879],204.081632653061,22.4712,43.5754,22.4712
[5880:6075],204.081632653061,24.4956,41.8123,24.4956
[6076:6271],204.081632653061,20.807,41.1986,20.807
[6272:6467],204.081632653061,17.4246,30.0282,17.4246
[6468:6663],204.081632653061,30.7823,70.4542,30.7823
[6664:6763],1,97.5545,2860.212,6.8769
[6764:6863],1,97.5545,2860.212,4.1563
[6864:6963],1,97.5545,2860.212,5.5445
[6964:7063],1,97.5545,2860.212,10.3487
[7064:7163],1,97.5545,2860.212,5.8363
[7164:7263],1,97.5545,2860.212,7.3378
[7264:7363],1,97.5545,2860.212,6.4275
[7364:7463],1,97.5545,2860.212,4.3844
[7464:7563],1,97.5545,2860.212,5.6478
[7564:7663],1,97.5545,2860.212,1.1231
[7664:7763],1,97.5545,2860.212,4.3551
[7764:7863],1,97.5545,2860.212,7.3167
[7864:7963],1,97.5545,2860.212,6.464
[7964:8063],1,97.5545,2860.212,8.2615
[8064:8163],1,97.5545,2860.212,4.815
[8164:8263],1,97.5545,2860.212,3.8697
[8264:8288],120,4.2057,6.8769,4.2057
[8289:8313],120,3.1166,4.1563,3.1166
[8314:8338],120,3.9111,5.5445,3.9111
[8339:8363],120,6.1321,10.3487,6.1321
[8364:8388],120,3.7646,5.8363,3.7646
[8389:8413],120,5.2523,7.3378,5.2523
[8414:8438],120,4.1438,6.4275,4.1438
[8439:8463],120,3.5971,4.3844,3.5971
[8464:8488],120,3.8863,5.6478,3.8863
[8489:8513],120,1.0618,1.1231,1.0618
[8514:8538],120,3.0166,4.3551,3.0166
[8539:8563],120,4.4324,7.3167,4.4324
[8564:8588],120,4.7907,6.464,4.7907
[8589:8613],120,5.2388,8.2615,5.2388
[8614:8638],120,3.6932,4.815,3.6932
[8639:8663],120,2.6544,3.8697,2.6544
[8664:8783],84,120,7547.7,24.2367
[8784:8867],100,84,2035.8828,21.3476
[8868:8967],0,100,2134.76,7.9083
